Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
1,Bayern Munich,de GER,1,34,28,4,2,80,17,63,88,2.59,75000,Robert Lewandowski - 30,Manuel Neuer
2,Paris S-G,fr FRA,1,38,30,6,2,102,19,83,96,2.53,46160,Zlatan Ibrahimović - 38,Kevin Trapp
3,Juventus,it ITA,1,38,29,4,5,75,20,55,91,2.39,38662,Paulo Dybala - 19,Gianluigi Buffon
4,Barcelona,es ESP,1,38,29,4,5,112,29,83,91,2.39,79724,Luis Suárez - 40,Claudio Bravo
5,Real Madrid,es ESP,2,38,28,6,4,110,34,76,90,2.37,71280,Cristiano Ronaldo - 35,Keylor Navas
6,Atlético Madrid,es ESP,3,38,28,4,6,63,18,45,88,2.32,47113,Antoine Griezmann - 22,Jan Oblak
7,Dortmund,de GER,2,34,24,6,4,82,34,48,78,2.29,81178,Pierre-Emerick Aubameyang - 25,Roman Bürki
8,Napoli,it ITA,2,38,25,7,6,80,32,48,82,2.16,38760,Gonzalo Higuaín - 36,Pepe Reina
9,Leicester City,eng ENG,1,38,23,12,3,68,36,32,81,2.13,31998,Jamie Vardy - 24,Kasper Schmeichel
10,Roma,it ITA,3,38,23,11,4,83,41,42,80,2.11,35182,Mohamed Salah - 14,Wojciech Szczęsny
11,Arsenal,eng ENG,2,38,20,11,7,65,36,29,71,1.87,59944,Olivier Giroud - 16,Petr Čech
12,Tottenham,eng ENG,3,38,19,13,6,69,35,34,70,1.84,35776,Harry Kane - 25,Hugo Lloris
13,Leverkusen,de GER,3,34,18,6,10,56,40,16,60,1.76,29085,Javier Hernández - 17,Bernd Leno
14,Inter,it ITA,4,38,20,7,11,50,38,12,67,1.76,45538,Mauro Icardi - 16,Samir Handanović
15,Manchester City,eng ENG,4,38,19,9,10,71,41,30,66,1.74,54041,Sergio Agüero - 24,Joe Hart
16,Manchester Utd,eng ENG,5,38,19,9,10,49,35,14,66,1.74,75286,Anthony Martial - 11,David de Gea
17,Lyon,fr FRA,2,38,19,8,11,67,43,24,65,1.71,40296,Alexandre Lacazette - 21,Anthony Lopes
18,Monaco,fr FRA,3,38,17,14,7,57,50,7,65,1.71,7838,Bernardo Silva - 7,Danijel Subašić
19,Fiorentina,it ITA,5,38,18,10,10,60,42,18,64,1.68,28734,Josip Iličić - 13,Ciprian Tătărușanu
20,Villarreal,es ESP,4,38,18,10,10,44,35,9,64,1.68,17557,Cédric Bakambu - 12,Alphonse Areola
21,Southampton,eng ENG,6,38,18,9,11,59,41,18,63,1.66,30751,Sadio Mané Graziano Pellè - 11,Fraser Forster
22,Nice,fr FRA,4,38,18,9,11,58,41,17,63,1.66,19192,Hatem Ben Arfa - 17,Yoan Cardinale
23,West Ham,eng ENG,7,38,16,14,8,65,51,14,62,1.63,34910,Dimitri Payet Andy Carroll - 9,Adrián
24,Athletic Club,es ESP,5,38,18,8,12,58,45,13,62,1.63,41945,Aritz Aduriz - 20,Gorka Iraizoz
25,M'Gladbach,de GER,4,34,17,4,13,67,50,17,55,1.62,51715,Raffael - 13,Yann Sommer
26,Sassuolo,it ITA,6,38,16,13,9,49,40,9,61,1.61,11437,Nicola Sansone Domenico Berardi... - 7,Andrea Consigli
27,Liverpool,eng ENG,8,38,16,12,10,63,50,13,60,1.58,43910,Roberto Firmino - 10,Simon Mignolet
28,Lille,fr FRA,5,38,15,15,8,39,27,12,60,1.58,30268,Sofiane Boufal - 11,Vincent Enyeama
29,Celta Vigo,es ESP,6,38,17,9,12,51,59,-8,60,1.58,18190,Iago Aspas - 14,Sergio Álvarez
30,Saint-Étienne,fr FRA,6,38,17,7,14,42,37,5,58,1.53,30328,Nolan Roux - 9,Stéphane Ruffier
31,Schalke 04,de GER,5,34,15,7,12,51,49,2,52,1.53,61386,Klaas-Jan Huntelaar - 12,Ralf Fährmann
32,Milan,it ITA,7,38,15,12,11,49,43,6,57,1.5,37861,Carlos Bacca - 18,Gianluigi Donnarumma
33,Mainz 05,de GER,6,34,14,8,12,46,42,4,50,1.47,31053,Yunus Mallı - 11,Loris Karius
34,Hertha BSC,de GER,7,34,14,8,12,42,42,0,50,1.47,49704,Salomon Kalou - 14,Rune Jarstein
35,Caen,fr FRA,7,38,16,6,16,39,52,-13,54,1.42,17661,Andy Delort - 12,Rémy Vercoutre
36,Lazio,it ITA,8,38,15,9,14,52,52,0,54,1.42,21025,Antonio Candreva - 10,Federico Marchetti
37,Rennes,fr FRA,8,38,13,13,12,52,54,-2,52,1.37,23180,Ousmane Dembélé - 12,Benoît Costil
38,Sevilla,es ESP,7,38,14,10,14,51,50,1,52,1.37,34142,Kévin Gameiro - 16,Sergio Rico
39,Stoke City,eng ENG,9,38,14,9,15,41,55,-14,51,1.34,27534,Marko Arnautović - 11,Jack Butland
40,Chelsea,eng ENG,10,38,12,14,12,59,53,6,50,1.32,41500,Diego Costa - 12,Thibaut Courtois
