Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Crystal Palace,eng Premier League,25,1990,11,8,714,2,0,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DFMF,Sunderland,eng Premier League,25,1990,21,20,1784,3,1,0,0,2,0,0.15,0.05,0.2,0.15,0.2,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,29,1986,23,22,1924,0,2,0,0,2,0,0,0.09,0.09,0,0.09,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,18,15,1314,0,0,0,0,3,0,0,0,0,0,0,Matches
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,13,9,882,0,0,0,0,4,0,0,0,0,0,0,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,28,27,2374,3,2,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,30,1986,30,30,2584,1,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches
8,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,20,16,1320,1,0,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
9,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,38,3420,4,0,1,1,2,0,0.11,0,0.11,0.08,0.08,Matches
10,Geoffrey Acheampong\Geoffrey-Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,2,0,12,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Maxwell Acosty\Maxwell-Acosty,gh GHA,MFFW,Crotone,it Serie A,24,1991,11,3,378,0,0,0,0,2,0,0,0,0,0,0,Matches
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,24,1992,20,13,1077,2,0,0,0,5,6,0.17,0,0.17,0.17,0.17,Matches
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,30,1985,24,17,1517,1,3,1,1,7,0,0.06,0.18,0.24,0,0.18,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,29,1987,37,37,3330,0,0,0,0,5,0,0,0,0,0,0,Matches
15,Jordan Adéoti\Jordan-Adeoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,27,23,2120,0,1,0,0,3,0,0,0.04,0.04,0,0.04,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,DFFW,Sassuolo,it Serie A,18,1998,9,6,510,1,0,0,0,3,0,0.18,0,0.18,0.18,0.18,Matches
17,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,19,1710,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,22,1993,14,8,872,0,0,0,0,2,0,0,0,0,0,0,Matches
19,Albert Adomah\Albert-Adomah,gh GHA,MF,Middlesbrough,eng Premier League,28,1987,2,1,122,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,29,1987,16,16,1440,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Luiz Adriano\Luiz-Adriano,br BRA,FW,Milan,it Serie A,29,1987,7,1,127,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,32,27,2417,16,5,5,5,8,2,0.6,0.19,0.78,0.41,0.6,Matches
23,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,30,1986,12,3,384,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Akram Afif\Akram-Afif,qa QAT,MF,Sporting Gijón,es La Liga,19,1996,9,2,236,0,0,0,0,2,0,0,0,0,0,0,Matches
25,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,31,14,1461,6,3,0,1,1,0,0.37,0.18,0.55,0.37,0.55,Matches
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,28,1988,31,25,2403,20,4,4,5,4,1,0.75,0.15,0.9,0.6,0.75,Matches
27,Dan Agyei\Dan-Agyei,eng ENG,FW,Burnley,eng Premier League,19,1997,3,0,25,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,29,20,2033,0,3,0,0,2,0,0,0.13,0.13,0,0.13,Matches
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Chelsea,eng Premier League,19,1996,3,0,26,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,26,23,1930,3,1,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches
