Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
1,Manchester City,eng ENG,1,38,32,4,2,106,27,79,100,2.63,80.1,23,57.1,1.5,54070,Sergio Agüero - 21,Ederson
2,Juventus,it ITA,1,38,30,5,3,86,24,62,95,2.5,59.7,28.8,30.9,0.81,39316,Paulo Dybala - 22,Gianluigi Buffon
3,Bayern Munich,de GER,1,34,27,3,4,92,28,64,84,2.47,77.8,33.7,44.1,1.3,75000,Robert Lewandowski - 29,Sven Ulreich
4,Paris S-G,fr FRA,1,38,29,6,3,108,29,79,93,2.45,89.1,32.3,56.9,1.5,46929,Edinson Cavani - 28,Alphonse Areola
5,Barcelona,es ESP,1,38,28,9,1,99,29,70,93,2.45,78.3,41.1,37.2,0.98,66603,Lionel Messi - 34,Marc-André ter Stegen
6,Napoli,it ITA,2,38,28,7,3,77,29,48,91,2.39,66.6,25.5,41.1,1.08,43050,Dries Mertens - 18,Pepe Reina
7,Manchester Utd,eng ENG,2,38,25,6,7,68,28,40,81,2.13,57,39.6,17.4,0.46,74976,Romelu Lukaku - 16,David de Gea
8,Monaco,fr FRA,2,38,24,8,6,85,45,40,80,2.11,61.5,47,14.5,0.38,9243,Radamel Falcao - 18,Danijel Subaši?
9,Atlético Madrid,es ESP,2,38,23,10,5,58,22,36,79,2.08,47.8,37,10.8,0.28,55483,Antoine Griezmann - 19,Jan Oblak
10,Lyon,fr FRA,3,38,23,9,6,87,43,44,78,2.05,66.9,39.7,27.2,0.72,46005,Memphis Depay - 19,Anthony Lopes
11,Tottenham,eng ENG,3,38,23,8,7,74,36,38,77,2.03,67,33.2,33.8,0.89,67953,Harry Kane - 30,Hugo Lloris
12,Marseille,fr FRA,4,38,22,11,5,80,47,33,77,2.03,72.2,41.9,30.4,0.8,46040,Florian Thauvin - 22,Steve Mandanda
13,Roma,it ITA,3,38,23,8,7,61,28,33,77,2.03,69.6,39.9,29.7,0.78,37450,Edin Džeko - 16,Alisson
14,Real Madrid,es ESP,3,38,22,10,6,94,44,50,76,2,83.3,45.4,37.9,1,66161,Cristiano Ronaldo - 26,Keylor Navas
15,Liverpool,eng ENG,4,38,21,12,5,84,38,46,75,1.97,70.4,33.3,37.1,0.98,53049,Mohamed Salah - 32,Loris Karius Simon Mignolet
16,Valencia,es ESP,4,38,22,7,9,65,38,27,73,1.92,56,44.8,11.2,0.29,38657,Rodrigo - 16,Neto
17,Inter,it ITA,4,38,20,12,6,66,30,36,72,1.89,60.9,35.3,25.7,0.68,57529,Mauro Icardi - 29,Samir Handanovi?
