Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0.21,0.21,0,0.21,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.9,0.08,0.11,0.19,0.08,0.19,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,0,0,0,0,4,0,0,0,0,0,0,0,0,0.4,0,0.02,0.03,0,0.03,Matches
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,1.8,1.8,0.1,0.05,0,0.05,0.05,0.05,Matches
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,3,0,1,1,6,0,0.13,0,0.13,0.09,0.09,3.1,2.3,1.5,0.14,0.06,0.2,0.1,0.17,Matches
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.45,0,0.45,0.45,0.45,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.03,0.01,0.03,0.03,0.03,Matches
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.02,0.02,0.02,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,3,1,0,0,4,1,0.08,0.03,0.11,0.08,0.11,3,3,0.6,0.08,0.02,0.1,0.08,0.1,Matches
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,2,0,0,0,4,0,0.12,0,0.12,0.12,0.12,1.5,1.5,0.6,0.09,0.04,0.13,0.09,0.13,Matches
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,0,2,0,0,0,0,0,0.25,0.25,0,0.25,0.2,0.2,0.7,0.03,0.09,0.12,0.03,0.12,Matches
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,10,8,645,0,2,0,0,2,0,0,0.28,0.28,0,0.28,0.2,0.2,0.8,0.03,0.11,0.14,0.03,0.14,Matches
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,0,0,0,0,7,1,0,0,0,0,0,0.9,0.9,0.1,0.04,0,0.04,0.04,0.04,Matches
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,5,3,270,1,0,0,0,1,0,0.33,0,0.33,0.33,0.33,0.5,0.5,0.1,0.17,0.03,0.2,0.17,0.2,Matches
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,7,2,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9,0.01,0.39,0.4,0.01,0.4,Matches
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,3,2,166,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.08,0.08,0.16,0.08,0.16,Matches
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,2,0,2,2,5,0,0.19,0,0.19,0,0,3.3,1.8,0.4,0.32,0.04,0.36,0.17,0.21,Matches
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,1,3,0,0,6,2,0.04,0.11,0.15,0.04,0.15,0.9,0.9,1.9,0.03,0.07,0.1,0.03,0.1,Matches
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.02,0.02,0.01,0.02,Matches
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,3,0,0,0,4,1,0.26,0,0.26,0.26,0.26,1.5,1.5,0.1,0.13,0,0.14,0.13,0.14,Matches
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,21,8,2,2,4,0,0.77,0.29,1.06,0.7,0.99,20.7,19.2,5.5,0.76,0.2,0.96,0.7,0.91,Matches
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,29,2528,1,4,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,0.03,0.11,0.14,0.03,0.14,Matches
