club_name,revenue,purchases,profit/loss,LgRk_2016,MP_2016,W_2016,D_2016,L_2016,GF_2016,GA_2016,GDiff_2016,Pts_2016,LgRk_2017,MP_2017,W_2017,D_2017,L_2017,GF_2017,GA_2017,GDiff_2017,Pts_2017,LgRk_2018,MP_2018,W_2018,D_2018,L_2018,GF_2018,GA_2018,GDiff_2018,Pts_2018,xG_x,xGA_x,xGDiff_x,xGDiff/90_x,LgRk_2019,MP_2019,W_2019,D_2019,L_2019,GF_2019,GA_2019,GDiff_2019,Pts_2019,xG_y,xGA_y,xGDiff_y,xGDiff/90_y,LgRk_2020,MP_2020,W_2020,D_2020,L_2020,GF_2020,GA_2020,GDiff_2020,Pts_2020,xG,xGA,xGDiff,xGDiff/90,W_Total,L_Total,LgRk_Avg,Pts_Total
West Brom,31.19,98.19,-67.0,14.0,38.0,10.0,13.0,15.0,34.0,48.0,-14.0,43.0,10.0,38.0,12.0,9.0,17.0,43.0,51.0,-8.0,45.0,20.0,38.0,6.0,13.0,19.0,31.0,56.0,-25.0,31.0,34.4,47.7,-13.3,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,51.0,8.8,119.0
Real Madrid,453.6,525.38,-71.78,2.0,38.0,28.0,6.0,4.0,110.0,34.0,76.0,90.0,1.0,38.0,29.0,6.0,3.0,106.0,41.0,65.0,93.0,3.0,38.0,22.0,10.0,6.0,94.0,44.0,50.0,76.0,83.3,45.4,37.9,1.0,3.0,38.0,21.0,5.0,12.0,63.0,46.0,17.0,68.0,61.4,45.6,15.7,0.41,1.0,38.0,26.0,9.0,3.0,70.0,25.0,45.0,87.0,63.6,28.4,35.2,0.93,126.0,28.0,2.0,414.0
Sevilla,358.97,432.77,-73.8,7.0,38.0,14.0,10.0,14.0,51.0,50.0,1.0,52.0,4.0,38.0,21.0,9.0,8.0,69.0,49.0,20.0,72.0,7.0,38.0,17.0,7.0,14.0,49.0,58.0,-9.0,58.0,56.5,55.3,1.3,0.03,6.0,38.0,17.0,8.0,13.0,62.0,47.0,15.0,59.0,63.5,44.1,19.4,0.51,4.0,38.0,19.0,13.0,6.0,54.0,34.0,20.0,70.0,47.1,33.6,13.5,0.36,88.0,55.0,5.6,311.0
Huddersfield,14.94,94.46,-79.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.0,9.0,10.0,19.0,28.0,58.0,-30.0,37.0,32.6,53.7,-21.1,-0.56,20.0,38.0,3.0,7.0,28.0,22.0,76.0,-54.0,16.0,28.9,63.3,-34.5,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,7.2,53.0
Wolfsburg,141.17,221.36,-80.19,8.0,34.0,12.0,9.0,13.0,47.0,49.0,-2.0,45.0,16.0,34.0,10.0,7.0,17.0,34.0,52.0,-18.0,37.0,16.0,34.0,6.0,15.0,13.0,36.0,48.0,-12.0,33.0,39.2,49.5,-10.3,-0.3,6.0,34.0,16.0,7.0,11.0,62.0,50.0,12.0,55.0,46.3,46.4,-0.1,0.0,7.0,34.0,13.0,10.0,11.0,48.0,46.0,2.0,49.0,47.3,40.0,7.4,0.22,57.0,65.0,10.6,219.0
Newcastle Utd,92.07,181.67,-89.6,18.0,38.0,9.0,10.0,19.0,44.0,65.0,-21.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,12.0,8.0,18.0,39.0,47.0,-8.0,44.0,42.4,51.3,-8.9,-0.23,13.0,38.0,12.0,9.0,17.0,42.0,48.0,-6.0,45.0,38.8,52.4,-13.6,-0.36,13.0,38.0,11.0,11.0,16.0,38.0,58.0,-20.0,44.0,33.1,58.3,-25.2,-0.66,44.0,70.0,10.8,170.0
Napoli,346.12,441.23,-95.11,2.0,38.0,25.0,7.0,6.0,80.0,32.0,48.0,82.0,3.0,38.0,26.0,8.0,4.0,94.0,39.0,55.0,86.0,2.0,38.0,28.0,7.0,3.0,77.0,29.0,48.0,91.0,66.6,25.5,41.1,1.08,2.0,38.0,24.0,7.0,7.0,74.0,36.0,38.0,79.0,68.3,34.2,34.1,0.9,7.0,38.0,18.0,8.0,12.0,61.0,50.0,11.0,62.0,62.5,39.3,23.2,0.61,121.0,32.0,3.2,400.0
Hertha BSC,62.91,162.36,-99.45,7.0,34.0,14.0,8.0,12.0,42.0,42.0,0.0,50.0,6.0,34.0,15.0,4.0,15.0,43.0,47.0,-4.0,49.0,10.0,34.0,10.0,13.0,11.0,43.0,46.0,-3.0,43.0,39.9,46.5,-6.7,-0.2,11.0,34.0,11.0,10.0,13.0,49.0,57.0,-8.0,43.0,47.9,59.6,-11.7,-0.35,10.0,34.0,11.0,8.0,15.0,48.0,59.0,-11.0,41.0,40.5,51.3,-10.8,-0.32,61.0,66.0,8.8,226.0
Parma,16.83,117.62,-100.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,10.0,11.0,17.0,41.0,61.0,-20.0,41.0,38.5,65.4,-26.9,-0.71,11.0,38.0,14.0,7.0,17.0,56.0,57.0,-1.0,49.0,46.7,62.0,-15.4,-0.4,24.0,34.0,5.0,90.0
RB Leipzig,173.11,277.01,-103.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,20.0,7.0,7.0,66.0,39.0,27.0,67.0,6.0,34.0,15.0,8.0,11.0,57.0,53.0,4.0,53.0,54.3,45.7,8.6,0.25,3.0,34.0,19.0,9.0,6.0,63.0,29.0,34.0,66.0,61.0,35.0,26.0,0.76,3.0,34.0,18.0,12.0,4.0,81.0,37.0,44.0,66.0,70.8,36.4,34.4,1.01,72.0,28.0,2.8,252.0
Liverpool,368.39,473.27,-104.88,8.0,38.0,16.0,12.0,10.0,63.0,50.0,13.0,60.0,4.0,38.0,22.0,10.0,6.0,78.0,42.0,36.0,76.0,4.0,38.0,21.0,12.0,5.0,84.0,38.0,46.0,75.0,70.4,33.3,37.1,0.98,2.0,38.0,30.0,7.0,1.0,89.0,22.0,67.0,97.0,73.5,30.1,43.4,1.14,1.0,38.0,32.0,3.0,3.0,85.0,33.0,52.0,99.0,71.5,40.0,31.5,0.83,121.0,25.0,3.8,407.0
Fulham,4.05,127.73,-123.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,7.0,5.0,26.0,34.0,81.0,-47.0,26.0,39.7,65.2,-25.5,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,3.8,26.0
Bournemouth,68.85,193.1,-124.25,16.0,38.0,11.0,9.0,18.0,45.0,67.0,-22.0,42.0,9.0,38.0,12.0,10.0,16.0,55.0,67.0,-12.0,46.0,12.0,38.0,11.0,11.0,16.0,45.0,61.0,-16.0,44.0,42.7,58.6,-15.9,-0.42,14.0,38.0,13.0,6.0,19.0,56.0,70.0,-14.0,45.0,53.3,55.8,-2.5,-0.07,18.0,38.0,9.0,7.0,22.0,40.0,65.0,-25.0,34.0,42.7,57.5,-14.8,-0.39,56.0,91.0,13.8,211.0
Leicester City,313.23,441.18,-127.95,1.0,38.0,23.0,12.0,3.0,68.0,36.0,32.0,81.0,12.0,38.0,12.0,8.0,18.0,48.0,63.0,-15.0,44.0,9.0,38.0,12.0,11.0,15.0,56.0,60.0,-4.0,47.0,45.7,48.6,-2.8,-0.07,9.0,38.0,15.0,7.0,16.0,51.0,48.0,3.0,52.0,49.4,42.6,6.8,0.18,5.0,38.0,18.0,8.0,12.0,67.0,41.0,26.0,62.0,61.6,44.5,17.1,0.45,80.0,64.0,7.2,286.0
Bayern Munich,203.13,353.25,-150.12,1.0,34.0,28.0,4.0,2.0,80.0,17.0,63.0,88.0,1.0,34.0,25.0,7.0,2.0,89.0,22.0,67.0,82.0,1.0,34.0,27.0,3.0,4.0,92.0,28.0,64.0,84.0,77.8,33.7,44.1,1.3,1.0,34.0,24.0,6.0,4.0,88.0,32.0,56.0,78.0,81.0,25.9,55.2,1.62,1.0,34.0,26.0,4.0,4.0,100.0,32.0,68.0,82.0,82.3,34.4,48.0,1.41,130.0,16.0,1.0,414.0
West Ham,178.99,332.01,-153.02,7.0,38.0,16.0,14.0,8.0,65.0,51.0,14.0,62.0,11.0,38.0,12.0,9.0,17.0,47.0,64.0,-17.0,45.0,13.0,38.0,10.0,12.0,16.0,48.0,68.0,-20.0,42.0,37.3,57.8,-20.5,-0.54,10.0,38.0,15.0,7.0,16.0,52.0,55.0,-3.0,52.0,49.1,61.0,-11.9,-0.31,16.0,38.0,10.0,9.0,19.0,49.0,62.0,-13.0,39.0,46.2,61.1,-14.8,-0.39,63.0,76.0,11.4,240.0
Wolves,104.81,278.78,-173.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.0,16.0,9.0,13.0,47.0,46.0,1.0,57.0,50.0,38.6,11.4,0.3,7.0,38.0,15.0,14.0,9.0,51.0,40.0,11.0,59.0,47.1,34.8,12.3,0.32,31.0,22.0,2.8,116.0
Tottenham,210.2,384.57,-174.37,3.0,38.0,19.0,13.0,6.0,69.0,35.0,34.0,70.0,2.0,38.0,26.0,8.0,4.0,86.0,26.0,60.0,86.0,3.0,38.0,23.0,8.0,7.0,74.0,36.0,38.0,77.0,67.0,33.2,33.8,0.89,4.0,38.0,23.0,2.0,13.0,67.0,39.0,28.0,71.0,55.6,45.3,10.2,0.27,6.0,38.0,16.0,11.0,11.0,61.0,47.0,14.0,59.0,46.1,52.0,-6.0,-0.16,107.0,41.0,3.6,363.0
Aston Villa,2.7,217.31,-214.61,20.0,38.0,3.0,8.0,27.0,27.0,76.0,-49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,38.0,9.0,8.0,21.0,41.0,67.0,-26.0,35.0,40.1,65.9,-25.8,-0.68,12.0,48.0,7.4,52.0
Brighton,27.36,243.99,-216.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,9.0,13.0,16.0,34.0,54.0,-20.0,40.0,36.3,49.7,-13.4,-0.35,17.0,38.0,9.0,9.0,20.0,35.0,60.0,-25.0,36.0,34.4,56.4,-22.0,-0.58,15.0,38.0,9.0,14.0,15.0,39.0,54.0,-15.0,41.0,41.2,54.5,-13.3,-0.35,27.0,51.0,9.4,117.0
Juventus,612.1,829.53,-217.43,1.0,38.0,29.0,4.0,5.0,75.0,20.0,55.0,91.0,1.0,38.0,29.0,4.0,5.0,77.0,27.0,50.0,91.0,1.0,38.0,30.0,5.0,3.0,86.0,24.0,62.0,95.0,59.7,28.8,30.9,0.81,1.0,38.0,28.0,6.0,4.0,70.0,30.0,40.0,90.0,58.3,35.9,22.4,0.59,1.0,38.0,26.0,5.0,7.0,76.0,43.0,33.0,83.0,68.9,41.8,27.0,0.71,142.0,24.0,1.0,450.0
Milan,220.47,447.44,-226.97,7.0,38.0,15.0,12.0,11.0,49.0,43.0,6.0,57.0,6.0,38.0,18.0,9.0,11.0,57.0,45.0,12.0,63.0,6.0,38.0,18.0,10.0,10.0,56.0,42.0,14.0,64.0,54.4,39.0,15.4,0.41,5.0,38.0,19.0,11.0,8.0,55.0,36.0,19.0,68.0,48.3,40.3,8.0,0.21,6.0,38.0,19.0,9.0,10.0,63.0,46.0,17.0,66.0,60.3,47.7,12.5,0.33,89.0,50.0,6.0,318.0
Everton,266.96,537.62,-270.66,11.0,38.0,11.0,14.0,13.0,59.0,55.0,4.0,47.0,7.0,38.0,17.0,10.0,11.0,62.0,44.0,18.0,61.0,8.0,38.0,13.0,10.0,15.0,44.0,58.0,-14.0,49.0,39.6,50.3,-10.7,-0.28,8.0,38.0,15.0,9.0,14.0,54.0,46.0,8.0,54.0,46.5,45.0,1.6,0.04,12.0,38.0,13.0,10.0,15.0,44.0,56.0,-12.0,49.0,49.3,48.4,0.9,0.02,69.0,68.0,9.2,260.0
