club_name,revenue,purchases,profit/loss,LgRk_2016,MP_2016,W_2016,D_2016,L_2016,GF_2016,GA_2016,GDiff_2016,Pts_2016,LgRk_2017,MP_2017,W_2017,D_2017,L_2017,GF_2017,GA_2017,GDiff_2017,Pts_2017,LgRk_2018,MP_2018,W_2018,D_2018,L_2018,GF_2018,GA_2018,GDiff_2018,Pts_2018,xG_x,xGA_x,xGDiff_x,xGDiff/90_x,LgRk_2019,MP_2019,W_2019,D_2019,L_2019,GF_2019,GA_2019,GDiff_2019,Pts_2019,xG_y,xGA_y,xGDiff_y,xGDiff/90_y,LgRk_2020,MP_2020,W_2020,D_2020,L_2020,GF_2020,GA_2020,GDiff_2020,Pts_2020,xG,xGA,xGDiff,xGDiff/90,W_Total,L_Total,LgRk_Avg,Pts_Total
Lyon,395.29,260.6,134.69,2.0,38.0,19.0,8.0,11.0,67.0,43.0,24.0,65.0,4.0,38.0,21.0,4.0,13.0,77.0,48.0,29.0,67.0,3.0,38.0,23.0,9.0,6.0,87.0,43.0,44.0,78.0,66.9,39.7,27.2,0.72,3.0,38.0,21.0,9.0,8.0,70.0,47.0,23.0,72.0,73.7,42.6,31.1,0.82,7.0,28.0,11.0,7.0,10.0,42.0,27.0,15.0,40.0,37.2,26.0,11.2,0.4,95.0,48.0,3.8,322.0
Lille,346.41,212.67,133.74,5.0,38.0,15.0,15.0,8.0,39.0,27.0,12.0,60.0,11.0,38.0,13.0,7.0,18.0,40.0,47.0,-7.0,46.0,17.0,38.0,10.0,8.0,20.0,41.0,67.0,-26.0,38.0,37.7,56.8,-19.1,-0.5,2.0,38.0,22.0,9.0,7.0,68.0,33.0,35.0,75.0,58.4,42.7,15.6,0.41,4.0,28.0,15.0,4.0,9.0,35.0,27.0,8.0,49.0,39.6,29.6,10.0,0.36,75.0,62.0,7.8,268.0
Dortmund,553.28,462.1,91.18,2.0,34.0,24.0,6.0,4.0,82.0,34.0,48.0,78.0,3.0,34.0,18.0,10.0,6.0,72.0,40.0,32.0,64.0,4.0,34.0,15.0,10.0,9.0,64.0,47.0,17.0,55.0,63.6,44.6,19.0,0.56,2.0,34.0,23.0,7.0,4.0,81.0,44.0,37.0,76.0,58.3,39.6,18.7,0.55,2.0,34.0,21.0,6.0,7.0,84.0,41.0,43.0,69.0,59.2,39.4,19.7,0.58,101.0,30.0,2.6,342.0
Saint-Étienne,138.33,50.4,87.93,6.0,38.0,17.0,7.0,14.0,42.0,37.0,5.0,58.0,8.0,38.0,12.0,14.0,12.0,41.0,42.0,-1.0,50.0,7.0,38.0,15.0,10.0,13.0,47.0,50.0,-3.0,55.0,52.2,51.6,0.6,0.02,4.0,38.0,19.0,9.0,10.0,59.0,41.0,18.0,66.0,56.0,50.6,5.4,0.14,17.0,28.0,8.0,6.0,14.0,29.0,45.0,-16.0,30.0,28.8,35.3,-6.6,-0.23,71.0,63.0,8.4,259.0
Sampdoria,270.51,188.11,82.4,15.0,38.0,10.0,10.0,18.0,48.0,61.0,-13.0,40.0,10.0,38.0,12.0,12.0,14.0,49.0,55.0,-6.0,48.0,10.0,38.0,16.0,6.0,16.0,56.0,60.0,-4.0,54.0,51.2,63.3,-12.1,-0.32,9.0,38.0,15.0,8.0,15.0,60.0,51.0,9.0,53.0,49.6,52.7,-3.0,-0.08,15.0,38.0,12.0,6.0,20.0,48.0,65.0,-17.0,42.0,51.2,53.4,-2.2,-0.06,65.0,83.0,11.8,237.0
Hoffenheim,190.44,116.73,73.71,15.0,34.0,9.0,10.0,15.0,39.0,54.0,-15.0,37.0,4.0,34.0,16.0,14.0,4.0,64.0,37.0,27.0,62.0,3.0,34.0,15.0,10.0,9.0,66.0,48.0,18.0,55.0,51.8,47.5,4.4,0.13,9.0,34.0,13.0,12.0,9.0,70.0,52.0,18.0,51.0,73.3,52.1,21.2,0.62,6.0,34.0,15.0,7.0,12.0,53.0,53.0,0.0,52.0,49.8,51.8,-2.1,-0.06,68.0,49.0,7.4,257.0
Atalanta,252.36,178.81,73.55,13.0,38.0,11.0,12.0,15.0,41.0,47.0,-6.0,45.0,4.0,38.0,21.0,9.0,8.0,62.0,41.0,21.0,72.0,7.0,38.0,16.0,12.0,10.0,57.0,39.0,18.0,60.0,67.3,37.1,30.2,0.79,3.0,38.0,20.0,9.0,9.0,77.0,46.0,31.0,69.0,66.8,41.6,25.3,0.66,3.0,38.0,23.0,9.0,6.0,98.0,48.0,50.0,78.0,81.9,41.3,40.6,1.07,91.0,48.0,6.0,324.0
Monaco,571.19,497.97,73.22,3.0,38.0,17.0,14.0,7.0,57.0,50.0,7.0,65.0,1.0,38.0,30.0,5.0,3.0,107.0,31.0,76.0,95.0,2.0,38.0,24.0,8.0,6.0,85.0,45.0,40.0,80.0,61.5,47.0,14.5,0.38,17.0,38.0,8.0,12.0,18.0,38.0,57.0,-19.0,36.0,48.9,47.3,1.6,0.04,9.0,28.0,11.0,7.0,10.0,44.0,44.0,0.0,40.0,48.0,39.9,8.2,0.29,90.0,44.0,6.4,316.0
Genoa,229.73,162.99,66.74,11.0,38.0,13.0,7.0,18.0,45.0,48.0,-3.0,46.0,16.0,38.0,9.0,9.0,20.0,38.0,64.0,-26.0,36.0,12.0,38.0,11.0,8.0,19.0,33.0,43.0,-10.0,41.0,43.3,45.5,-2.2,-0.06,17.0,38.0,8.0,14.0,16.0,39.0,57.0,-18.0,38.0,43.7,54.2,-10.5,-0.28,17.0,38.0,10.0,9.0,19.0,47.0,73.0,-26.0,39.0,47.4,59.5,-12.1,-0.32,51.0,92.0,14.6,200.0
Bordeaux,129.38,70.25,59.13,11.0,38.0,12.0,14.0,12.0,50.0,57.0,-7.0,50.0,6.0,38.0,15.0,14.0,9.0,53.0,43.0,10.0,59.0,6.0,38.0,16.0,7.0,15.0,53.0,48.0,5.0,55.0,52.6,40.7,11.9,0.31,14.0,38.0,10.0,11.0,17.0,34.0,42.0,-8.0,41.0,40.2,53.1,-12.9,-0.34,12.0,28.0,9.0,10.0,9.0,40.0,34.0,6.0,37.0,29.7,33.2,-3.5,-0.12,62.0,62.0,9.8,242.0
