club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Leicester City,Islam Slimani,28,Centre-Forward,Sporting CP,£27.45m,in,Summer,27.45,Premier League,2016,2016/2017
Leicester City,Ahmed Musa,23,Left Winger,CSKA Moscow,£17.55m,in,Summer,17.55,Premier League,2016,2016/2017
Leicester City,Nampalys Mendy,24,Defensive Midfield,OGC Nice,£13.95m,in,Summer,13.95,Premier League,2016,2016/2017
Leicester City,Bartosz Kapustka,19,Attacking Midfield,Cracovia,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Leicester City,Ron-Robert Zieler,27,Goalkeeper,Hannover 96,£3.15m,in,Summer,3.15,Premier League,2016,2016/2017
Arsenal FC,Granit Xhaka,23,Defensive Midfield,Bor. M'gladbach,£40.50m,in,Summer,40.5,Premier League,2016,2016/2017
Arsenal FC,Shkodran Mustafi,24,Centre-Back,Valencia,£36.90m,in,Summer,36.9,Premier League,2016,2016/2017
Arsenal FC,Lucas Pérez,27,Centre-Forward,Dep. La Coruña,£18.00m,in,Summer,18.0,Premier League,2016,2016/2017
Arsenal FC,Takuma Asano,21,Left Winger,Sanf. Hiroshima,£3.60m,in,Summer,3.6,Premier League,2016,2016/2017
Arsenal FC,Rob Holding,20,Centre-Back,Bolton,£2.70m,in,Summer,2.7,Premier League,2016,2016/2017
Tottenham Hotspur,Moussa Sissoko,27,Central Midfield,Newcastle,£31.50m,in,Summer,31.5,Premier League,2016,2016/2017
Tottenham Hotspur,Vincent Janssen,22,Centre-Forward,AZ Alkmaar,£19.80m,in,Summer,19.8,Premier League,2016,2016/2017
Tottenham Hotspur,Victor Wanyama,25,Defensive Midfield,Southampton,£12.96m,in,Summer,12.96,Premier League,2016,2016/2017
Tottenham Hotspur,Georges-Kevin N'Koudou,21,Left Winger,Marseille,£9.90m,in,Summer,9.9,Premier League,2016,2016/2017
Manchester City,John Stones,22,Centre-Back,Everton,£50.04m,in,Summer,50.04,Premier League,2016,2016/2017
Manchester City,Leroy Sané,20,Left Winger,FC Schalke 04,£46.80m,in,Summer,46.8,Premier League,2016,2016/2017
Manchester City,Ilkay Gündogan,25,Central Midfield,Bor. Dortmund,£24.30m,in,Summer,24.3,Premier League,2016,2016/2017
Manchester City,Nolito,29,Left Winger,Celta de Vigo,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Manchester City,Claudio Bravo,33,Goalkeeper,FC Barcelona,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Manchester City,Marlos Moreno,19,Left Winger,Atl. Nacional,£4.95m,in,Summer,4.95,Premier League,2016,2016/2017
Manchester City,Gero Rulli,24,Goalkeeper,Maldonado,£4.23m,in,Summer,4.23,Premier League,2016,2016/2017
Manchester City,Oleksandr Zinchenko,19,Left-Back,Ufa,£1.80m,in,Summer,1.8,Premier League,2016,2016/2017
Manchester United,Paul Pogba,23,Central Midfield,Juventus,£94.50m,in,Summer,94.5,Premier League,2016,2016/2017
Manchester United,Henrikh Mkhitaryan,27,Attacking Midfield,Bor. Dortmund,£37.80m,in,Summer,37.8,Premier League,2016,2016/2017
Manchester United,Eric Bailly,22,Centre-Back,Villarreal,£34.20m,in,Summer,34.2,Premier League,2016,2016/2017
Southampton FC,Sofiane Boufal,22,Left Winger,LOSC Lille,£16.83m,in,Summer,16.83,Premier League,2016,2016/2017
Southampton FC,Pierre-Emile Höjbjerg,20,Central Midfield,Bayern Munich,£13.50m,in,Summer,13.5,Premier League,2016,2016/2017
Southampton FC,Nathan Redmond,22,Left Winger,Norwich,£12.15m,in,Summer,12.15,Premier League,2016,2016/2017
Southampton FC,Alex McCarthy,26,Goalkeeper,Crystal Palace,£4.23m,in,Summer,4.23,Premier League,2016,2016/2017
West Ham United,André Ayew,26,Left Winger,Swansea,£21.69m,in,Summer,21.69,Premier League,2016,2016/2017
West Ham United,Manuel Lanzini,23,Attacking Midfield,Al-Jazira,£10.80m,in,Summer,10.8,Premier League,2016,2016/2017
West Ham United,Arthur Masuaku,22,Left-Back,Olympiacos,£6.39m,in,Summer,6.39,Premier League,2016,2016/2017
West Ham United,Edimilson Fernandes,20,Central Midfield,FC Sion,£5.76m,in,Summer,5.76,Premier League,2016,2016/2017
Liverpool FC,Sadio Mané,24,Left Winger,Southampton,£37.08m,in,Summer,37.08,Premier League,2016,2016/2017
Liverpool FC,Georginio Wijnaldum,25,Central Midfield,Newcastle,£24.75m,in,Summer,24.75,Premier League,2016,2016/2017
Liverpool FC,Loris Karius,23,Goalkeeper,1.FSV Mainz 05,£5.58m,in,Summer,5.58,Premier League,2016,2016/2017
Liverpool FC,Ragnar Klavan,30,Centre-Back,FC Augsburg,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Stoke City,Joe Allen,26,Central Midfield,Liverpool,£13.95m,in,Summer,13.95,Premier League,2016,2016/2017
Stoke City,Ramadan Sobhi,19,Left Winger,El Ahly,£4.50m,in,Summer,4.5,Premier League,2016,2016/2017
Chelsea FC,Michy Batshuayi,22,Centre-Forward,Marseille,£35.10m,in,Summer,35.1,Premier League,2016,2016/2017
Chelsea FC,N'Golo Kanté,25,Central Midfield,Leicester,£32.22m,in,Summer,32.22,Premier League,2016,2016/2017
Chelsea FC,David Luiz,29,Centre-Back,Paris SG,£31.50m,in,Summer,31.5,Premier League,2016,2016/2017
Chelsea FC,Marcos Alonso,25,Left-Back,Fiorentina,£20.70m,in,Summer,20.7,Premier League,2016,2016/2017
Everton FC,Yannick Bolasie,27,Left Winger,Crystal Palace,£26.01m,in,Summer,26.01,Premier League,2016,2016/2017
Everton FC,Ashley Williams,31,Centre-Back,Swansea,£12.60m,in,Summer,12.6,Premier League,2016,2016/2017
Everton FC,Idrissa Gueye,26,Defensive Midfield,Aston Villa,£7.65m,in,Summer,7.65,Premier League,2016,2016/2017
Everton FC,Dominic Calvert-Lewin,19,Centre-Forward,Sheffield Utd.,£1.62m,in,Summer,1.62,Premier League,2016,2016/2017
Swansea City,Borja Bastón,23,Centre-Forward,Atlético Madrid,£16.20m,in,Summer,16.2,Premier League,2016,2016/2017
Swansea City,Fernando Llorente,31,Centre-Forward,Sevilla FC,£5.31m,in,Summer,5.31,Premier League,2016,2016/2017
Swansea City,Alfie Mawson,22,Centre-Back,Barnsley FC,£5.31m,in,Summer,5.31,Premier League,2016,2016/2017
Swansea City,Leroy Fer,26,Central Midfield,QPR,£5.04m,in,Summer,5.04,Premier League,2016,2016/2017
Swansea City,Mike van der Hoorn,23,Centre-Back,Ajax,£2.25m,in,Summer,2.25,Premier League,2016,2016/2017
Watford FC,Isaac Success,20,Left Winger,Granada CF,£13.50m,in,Summer,13.5,Premier League,2016,2016/2017
Watford FC,Roberto Pereyra,25,Attacking Midfield,Juventus,£12.15m,in,Summer,12.15,Premier League,2016,2016/2017
Watford FC,Sven Kums,28,Defensive Midfield,KAA Gent,£8.10m,in,Summer,8.1,Premier League,2016,2016/2017
Watford FC,Daryl Janmaat,27,Right-Back,Newcastle,£8.01m,in,Summer,8.01,Premier League,2016,2016/2017
Watford FC,Christian Kabasele,25,Centre-Back,KRC Genk,£6.26m,in,Summer,6.26,Premier League,2016,2016/2017
Watford FC,Stefano Okaka,27,Centre-Forward,RSC Anderlecht,£5.40m,in,Summer,5.4,Premier League,2016,2016/2017
Watford FC,Younès Kaboul,30,Centre-Back,Sunderland,£3.60m,in,Summer,3.6,Premier League,2016,2016/2017
